No.,Herb Name,Number of File
314,เตยหอม,73
315,เต่าเกียด,10
316,เต่าร้าง,27
317,แตงกวา,299
318,แตงไทย,22
319,แตงโม,488
32,กระบือเจ็ดตัว,16
320,แตงหนู,7
321,แต้ว,19
322,ถ่อน,121
323,ถอบแถบน้ำ,3
324,ถั่วขาว,39
325,ถั่วเขียว,312
326,ถั่วดำ,166
327,ถั่วดำเม็ดเล็ก,0
328,ถั่วแดง,248
329,ถั่วแปบ,49
33,กระเบา,53
330,ถั่วผี,2
331,ถั่วฝักยาว,176
332,ถั่วพู,87
333,ถั่วแระต้น,12
334,ถั่วลันเตา,102
335,ถั่วลิสง,278
336,ถั่วเหลือง,675
337,เถาคัน,40
338,เถาคันขาว,13
339,เถาคันแดง,24
34,กระเบากลัก,3
340,เถายั้ง,2
341,เถาวัลย์ด้วน,3
342,เถาวัลย์แดง,2
343,เถาวัลย์ปูน,13
344,เถาวัลย์เปรียง,185
345,เถาสิงห์โต,2
346,เถาหัวด้วน,112
347,เถาเอ็นอ่อน,32
348,ทรงบาดาล,14
349,ท้อ,353
35,กระเบาใหญ่,37
350,ทองกวาว,36
351,ทองเครือ,9
352,ทองพันชั่ง,190
353,ทองสามย่าน,10
354,ทองหลางใบมน,12
355,ทองหลางลาย,4
356,ทองโหลง,5
357,ท่อมขี้หมู,2
358,ทับทิม,424
359,ทานตะวัน,256
36,กระเบียน,5
360,ทำมัง,5
361,ทุ้งฟ้า,2
362,ทุเรียน,302
363,ทุเรียนเทศ,124
364,เทพทาโร,7
365,เท้ายายม่อม,192
366,เทียนกิ่ง,12
367,เทียนเกล็ดหอย,9
368,เทียนแกลบ,6
369,เทียนดำ,113
37,กระพังโหม,40
370,เทียนดำหลวง,2
371,เทียนแดง,49
372,เทียนตากบ,10
373,เทียนตาตั๊กแตน,45
374,เทียนนา,5
375,เทียนน้ำ,0
376,เทียนบ้าน,20
377,เทียนเยาวพานี,1
378,เทียนสัตตบุษย์,14
379,แทงทวย,15
38,กระพี้,128
380,โทงเทง,31
381,ไทรย้อย,20
382,ไทรย้อยใบทู่,2
383,นนทรี,21
384,นมควาย,15
385,นมงัว,2
386,นมตำเลีย,6
387,นมนาง,20
388,นมแมว,102
389,นมสวรรค์,64
39,กระพี้เขาควาย,1
390,น้อยหน่า,134
391,น้อยโหน่ง,22
392,นางแย้ม,158
393,น้ำเต้า,109
394,น้ำเต้าต้น,6
395,น้ำนมราชสีห์,17
396,น้ำนมราชสีห์เล็ก,1
397,นิลบล,3
398,นุ่น,177
399,เนระพูสีเทศ,2
4,กระเจานา,2
40,กระวาน,281
400,เนระพูสีไทย,4
401,เนียม,139
402,เนียมหูเสือ,4
403,โนรา,7
404,บวบขม,30
405,บวบหอม,17
406,บวบเหลี่ยม,22
407,บอน,179
408,บอระเพ็ด,1046
409,บัวจงกลนี,1
41,กระวานเทศ,9
410,บัวบก,654
411,บัวเผื่อน,2
412,บัวหลวง,218
413,บานบุรี,37
414,บานบุรีม่วง,1
415,บานไม่รู้โรย,26
416,บานเย็น,28
417,บุก,448
418,บุกรอ,10
419,บุกอีรอกเขา,100
42,กรุงเขมา,57
420,บุนนาค,303
421,ใบก้นปิด,3
422,ใบนาก,6
423,ใบระบาด,11
424,ปรงเขา,2
425,ปรงญี่ปุ่น,4
426,ปรงทะเล,4
427,ปรงป่า,7
428,ประดู่,94
429,ประดู่บ้าน,8
43,กฤษณา,136
430,ประทัดใหญ่,110
431,ประยงค์,64
432,ประยงค์ป่า,3
433,ปรู๋,5
434,ปลาไหลเผือก,160
435,ปอกระเจา,4
436,ปอแก้ว,5
437,ปอขี้ตุ่น,1
438,ปอทะเล,4
439,ปอเทือง,1
44,กล้วย,1205
440,ปอบิด,46
441,ปอฝ้าย,6
442,ปอมุก,0
443,ปอหมัน,1
444,ป่าน,82
445,ป่านมนิลา,0
446,ปีบ,237
447,เป่ยเช่า,0
448,เปราะป่า,11
449,เปราะหอม,200
45,กลอย,154
450,เปล้าน้อย,60
451,เปล้าน้ำเงิน,9
452,เปล้าใหญ่,13
453,แปบ,92
454,แป๊ะก๊วย,9
455,แป๊ะตำปึง,25
456,โป่งมดง่าม,3
457,โป๊ยกั๊ก,17
458,โปรงขาว,0
459,โปร่งฟ้า,6
46,กวาวเครือ,139
460,ผกากรอง,50
461,ผลาญศัตรู,14
462,ผักกะเฉด,9
463,ผักกะโฉม,13
464,ผักกะสัง,10
465,ผักกาดขาว,108
466,ผักกาดเขียว,12
467,ผักกาดแดง,7
468,ผักกาดนก,9
469,ผักกาดน้ำ,9
47,กะตังใบ,12
470,ผักกาดหอม,84
471,ผักขวง,20
472,ผักขาเขียด,4
473,ผักแขยง,28
474,ผักโขม,368
475,ผักโขมจีน,4
476,ผักโขมใบแดง,0
477,ผักโขมหนาม,34
478,ผักโขมหิน,14
479,ผักคราดหัวแหวน,26
48,กะทือ,28
480,ผักคะน้า,160
481,ผักเค็ด,15
482,ผักชี,355
483,ผักชีฝรั่ง,52
484,ผักชีล้อม,72
485,ผักตบไทย,4
486,ผักบุ้ง,344
487,ผักบุ้งขัน,5
488,ผักบุ้งทะเล,95
489,ผักบุ้งร้วม,4
49,กะเพรา,334
490,ผักบุ้งรั้ว,2
491,ผักเบี้ยเล็ก,2
492,ผักเบี้ยหิน,7
493,ผักเบี้ยใหญ่,7
494,ผักปลังขาว,8
495,ผักปลาบ,7
496,ผักปอด,38
497,ผักเป็ดแดง,16
498,ผักเป็ดไทย,2
499,ผักแผ่วขาว,0
5,กระเจี๊ยบแดง,144
50,กะเม็ง,51
500,ผักแผ่วแดง,5
501,ผักไผ่น้ำ,5
502,ผักสาบ,12
503,ผักเสี้ยน,64
504,ผักเสี้ยนป่า,0
505,ผักเสี้ยนผี,54
506,ผักหนาม,22
507,ผักหวานบ้าน,44
508,ผีเสื้อหลวง,4
509,โผงเผง,3
51,กะเม็งตัวผู้,3
510,ไผ่,353
511,ไผ่จีน,1
512,ไผ่สีสุก,24
513,ไผ่เหลือง,5
514,ฝอยทอง,47
515,ฝาง,219
516,ฝ้าย,139
517,ฝ้ายแดง,8
518,ฝ้ายเทศ,5
519,ฝิ่น,134
52,กัญชา,96
520,ฝิ่นต้น,76
521,แฝกหอม,140
